FIPS,Accommodation and food services,Administrative and support and waste management and remediation services,"Agriculture, forestry, fishing and hunting","Arts, entertainment, and recreation",Construction,Educational services,Finance and insurance,Health care and social assistance,Industries not classified,Information,Management of companies and enterprises,"Mining, quarrying, and oil and gas extraction",Other services (except public administration),"Professional, scientific, and technical services",Real estate and rental and leasing,Utilities,Wholesale trade
01001,0.22082276187024283,0.017125770206596592,0.008426966292134831,0.026096411743385284,0.041047480971366436,0.014226168901776005,0.03307357738310982,0.14271475172163828,0.00045306270387821673,0.009786154403769481,,0.005436752446538601,0.0721275824574121,0.02491844871330192,0.009967379485320768,0.01594780717651323,0.02274374773468648
01003,0.21282690315898498,0.04929440704298291,0.00016183324702226826,0.020763205592957017,0.057790652511651996,0.023886587260486796,0.02738218539616779,0.12587389953392025,6.47332988089073e-05,0.00988801139306059,0.006392413257379596,0.0015050491973070948,0.049941740031071984,0.03417918177110305,0.03029518384256862,0.004304764370792335,0.04400245986535474
01005,0.09306409130816505,0.01785191688615745,0.021802750951126718,0.003219198127011999,0.01302311969563945,0.009511267193444542,0.021656423763535264,0.09189347380743342,,0.004682470002926544,,0.012145156570090724,0.02736318407960199,0.01434006438396254,0.005414105940883816,0.0,0.017705589698565994
01007,0.07606199770378874,0.02640642939150402,0.02123995407577497,0.0025832376578645237,0.24770378874856486,,0.01951779563719862,0.20436280137772675,,0.008036739380022962,,,0.04219288174512055,0.01722158438576349,0.0054535017221584384,0.0054535017221584384,0.025832376578645237
01009,0.10398796087283672,0.03325808878856283,0.001053423626787058,0.012791572610985704,0.07735139202407826,0.0015048908954100827,0.03416102332580888,0.145522949586155,,0.008878856282919489,,0.0,0.10428893905191873,0.033860045146726865,0.0030097817908201654,,0.060797592174567344
01011,0.038928210313447925,0.0015166835187057635,0.21132457027300303,0.00455005055611729,0.0,,0.020728008088978768,0.19919110212335692,,,,,0.023761375126390292,0.01314459049544995,0.003033367037411527,,0.009605662285136502
01013,0.11532675915092763,0.0685274945679425,0.03777369212769514,0.015711181681430722,0.04796924619755975,,0.025238174828681265,0.15727895704496073,,0.026241016212602372,,,0.023399632291492563,0.010028413839211098,0.005014206919605549,,0.01286979776032091
01015,0.1340734415029889,0.0744056637558194,0.001680394479490923,0.004600424230737445,0.02553648659816534,0.016859039695876148,0.026831216770887855,0.17875540618715738,,0.01424203189994766,0.00539930029475772,,0.04504008154045343,0.024737610534145065,0.008429519847938074,0.005261563042340431,0.060659485964573975
01017,0.13016379185389187,0.038411363965792145,0.028264965937092334,,0.02638063487461951,,0.01927815625452964,0.10001449485432672,,0.012030729091172634,,,0.04928250471082766,0.02623568633135237,0.006522684447021307,0.012610523264241195,0.01681403101898826
01019,0.11400578935649076,0.11645513248719662,0.016922734357604097,0.00222667557336896,0.01736806947227789,,0.030505455355154754,0.10175907370296147,,0.005121353818748608,,,0.05900690269427744,0.01603206412825651,0.007348029392117568,0.0,0.024716098864395457
01021,0.12303598580841359,0.0358590978205778,0.013938165230613279,,0.07247845919918905,,0.02838317283324886,0.10973137354282818,,0.007856056766345666,,,0.07146477445514444,0.011403953370501775,0.007475924987328941,0.0,0.04548910288900152
01023,0.052294557097118465,0.004268943436499467,0.08715759516186411,,0.06759160441124155,,0.02383493418712202,0.13233724653148346,,0.0096051227321238,,,0.048025613660619,0.018498754891497687,0.003913198150124511,,0.01351832088224831
01025,0.11105962310781588,0.017608897126969416,0.0364535063330244,0.002008032128514056,0.018999073215940687,0.014519616929255484,0.05205437133147976,0.1414890330552981,,0.014519616929255484,0.0027803521779425394,0.004479456286685202,0.04417670682730924,0.014519616929255484,0.014983008958912573,0.0,0.02471424158171146
