NAME,S0101_C01_001E,S0101_C02_002E,S0101_C02_003E,S0101_C02_004E,S0101_C02_005E,S0101_C02_006E,S0101_C02_007E,S0101_C02_008E,S0101_C02_009E,S0101_C02_010E,S0101_C02_011E,S0101_C02_012E,S0101_C02_013E,S0101_C02_014E,S0101_C02_015E,S0101_C02_016E,S0101_C02_017E,S0101_C02_018E,S0101_C02_019E,S0801_C01_001E,S0801_C01_002E,S0801_C01_008E,S0801_C01_009E,S0801_C01_010E,S0801_C01_011E,S0801_C01_012E,S0801_C01_013E,S1101_C01_001E,S1101_C01_002E,S1101_C01_004E,S1101_C01_010E,S1101_C01_011E,S1101_C01_019E,S1101_C01_020E,state,county,S1401_C04_001E,S1401_C04_002E,S1401_C04_003E,S1401_C04_010E,S1501_C02_014E,S1501_C02_015E,S1501_C02_007E,S1701_C03_001E,S1810_C03_019E,S1810_C03_029E,S1810_C03_039E,S1810_C03_047E,S1810_C03_055E,S1810_C03_063E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,S1901_C01_012E,S2201_C03_001E,S2701_C05_001E,S2801_C02_002E,S2801_C02_003E,S2801_C02_005E,S2801_C02_006E,S2801_C02_011E,S2801_C02_012E,S2801_C02_013E,S2801_C02_014E,S2801_C02_016E,S2801_C02_019E,fips,log_pop,log_households,households_u18_pct,households_o60_pct,household_owner_occupied_pct,household_rented_pct,food_stamps_pct
"Washington County, Mississippi",47086,7.7,6.6,7.5,6.7,7.1,6.5,5.9,6.1,5.0,5.8,6.4,6.8,7.0,6.0,3.1,2.5,1.7,1.5,16833.0,0.005738727499554446,1.06,0.0,7.722925206439731e-05,0.0,5.346640527535199e-05,6.534782866987466e-05,18299,2.54,3.3,31.1,41.1,54.0,46.0,28,151,86.7,93.8,87.5,80.8,78.5,18.8,8.4,33.3,4.0,6.3,7.8,12.0,4.6,9.1,0.0008251817039182469,0.0005519427291108803,0.0009126181758566041,0.0007432100114760369,0.000644843980545385,0.0008634351603912782,0.0003934641237226078,0.0003060276517842505,9.836603093065195e-05,0.0001256899284113886,30834.0,5386,18.2,75.7,56.0,64.6,9.6,24.3,62.4,0.2,62.3,15.4,37.6,28151,10.759730995904896,9.814601692527686,0.00169954642330182,0.002246024372916553,0.0029509809279195586,0.002513798568227772,0.2943330236624952
"Perry County, Mississippi",12028,6.1,6.5,6.7,7.1,5.6,6.2,4.4,6.8,6.2,6.3,7.1,6.5,7.5,7.3,3.1,2.2,2.7,2.0,4491.0,0.02010688042752171,1.03,0.0,0.0004008016032064128,0.0,0.0013137385882876866,0.00044533511467379205,4563,2.61,3.2,36.2,46.8,83.4,16.6,28,111,92.8,72.0,94.6,93.9,81.3,11.0,6.0,18.7,7.0,6.8,11.2,17.4,5.3,11.6,0.002016217400832785,0.0019723865877712033,0.0036379574841113307,0.0030243261012491782,0.0026298487836949377,0.003418803418803419,0.0027832566294104756,0.0011615165461319307,0.001051939513477975,0.00021915406530791147,39007.0,831,15.1,77.8,53.6,67.5,13.8,22.2,65.2,0.7,64.5,30.0,34.8,28111,9.394992544108419,8.425735580927402,0.007933377164146396,0.010256410256410256,0.018277449046679817,0.0036379574841113307,0.18211702827087442
"Choctaw County, Mississippi",8321,5.5,6.8,5.8,7.2,5.0,5.0,5.4,4.0,7.1,6.3,6.8,6.4,7.7,7.3,4.5,3.8,2.8,2.6,2990.0,0.031471571906354516,1.06,0.00010033444816053511,0.0003678929765886288,0.0,0.0008026755852842809,0.0007023411371237458,3164,2.58,3.52,23.6,52.0,76.4,23.6,28,019,90.4,100.0,88.4,95.5,80.4,17.7,8.6,23.3,6.5,5.9,11.1,17.0,5.6,13.3,0.0028445006321112516,0.0035082174462705436,0.0051517067003792666,0.003381795195954488,0.0041087231352718075,0.005404551201011378,0.0039190897597977245,0.002275600505689001,0.0004740834386852086,0.0005372945638432364,37203.0,632,8.5,74.1,52.6,59.9,12.4,25.9,58.1,0.7,57.4,20.6,41.9,28019,9.02653771890043,8.059592328887545,0.007458912768647282,0.01643489254108723,0.024146649810366627,0.007458912768647282,0.1997471554993679
"Itawamba County, Mississippi",23480,5.4,6.1,6.4,8.2,7.1,6.3,5.4,5.0,7.1,6.8,6.6,6.5,6.1,4.6,5.0,2.6,2.4,2.4,9340.0,0.010096359743040685,1.08,2.1413276231263384e-05,7.494646680942183e-05,1.0706638115631692e-05,0.00014989293361884366,0.0003533190578158458,8706,2.57,3.08,35.4,41.3,77.8,22.2,28,057,95.1,62.0,97.5,93.8,78.5,13.4,6.4,15.4,6.0,4.5,7.1,13.6,5.5,11.6,0.0007695841948081783,0.0008040431886055594,0.0017459223524006432,0.0016425453710085,0.0016080863772111188,0.0024006432345508844,0.001091201470250402,0.0009418791637950838,0.0003560762692396049,0.00012634964392373076,40510.0,982,11.4,81.6,60.9,71.5,13.2,18.4,70.6,0.6,70.0,20.9,29.4,28057,10.063904273942033,9.071767722112243,0.004066161268090972,0.0047438548127728,0.008936365724787503,0.0025499655410062025,0.11279577303009419
"Carroll County, Mississippi",10129,4.5,4.6,7.3,7.9,4.1,4.2,3.8,6.6,5.4,6.7,7.1,9.5,6.2,7.4,6.0,4.9,2.3,1.7,3407.0,0.028118579395362487,1.03,0.0,0.0004109186968007044,0.0,0.0,0.0008218373936014088,3658,2.72,3.34,25.1,52.0,80.8,19.2,28,015,73.2,100.0,69.7,93.1,81.7,14.5,5.5,14.8,6.7,3.6,6.7,10.8,3.8,8.3,0.002815746309458721,0.0014215418261344997,0.0039639147074904315,0.00306178239475123,0.0038545653362493165,0.004920721705850191,0.0026243849097867685,0.0031437944231820667,0.000683433570256971,0.000847457627118644,43060.0,300,8.4,76.9,64.8,66.0,6.4,23.1,63.0,0.8,62.2,9.3,37.0,28015,9.223157875686796,8.204671828950811,0.006861673045379989,0.014215418261344996,0.022088572990705303,0.005248769819573537,0.08201202843083652
"Grenada County, Mississippi",21278,6.4,6.8,6.6,7.2,5.5,6.3,5.3,6.1,6.3,6.1,6.8,7.8,5.7,5.6,4.4,3.5,1.7,1.9,8107.0,0.011693598125077094,1.06,3.7005057357838906e-05,0.00022203034414703342,0.0,0.0002837054397434316,9.868015295423708e-05,8224,2.54,3.15,32.1,41.8,66.6,33.4,28,043,87.0,93.5,86.7,85.7,80.0,19.7,6.6,24.5,4.2,2.7,7.9,13.2,4.3,9.4,0.0014348249027237355,0.0007903696498054475,0.0017874513618677042,0.0017509727626459145,0.0017509727626459145,0.0018117704280155643,0.0011551556420233463,0.0010457198443579766,0.0004012645914396887,0.00024319066147859923,36877.0,1022,12.1,79.3,58.8,68.1,10.7,20.7,63.6,0.2,63.4,14.2,36.4,28043,9.96542895407631,9.014811987694946,0.0039032101167315175,0.005082684824902723,0.008098249027237353,0.0040612840466926065,0.1242704280155642
"Jefferson County, Mississippi",7346,6.2,6.6,6.8,6.3,5.9,6.8,6.9,5.2,5.5,5.4,8.3,7.7,7.5,5.1,3.1,2.6,1.3,2.8,1824.0,0.052247807017543856,1.02,0.0,0.0010416666666666667,0.0,0.0005482456140350877,0.000986842105263158,2530,2.72,3.67,26.2,51.7,66.8,33.2,28,063,99.8,100.0,100.0,98.7,74.8,15.0,11.4,49.7,2.3,0.5,5.3,7.7,1.6,7.6,0.006758893280632412,0.005849802371541502,0.01,0.004110671936758893,0.004031620553359683,0.003636363636363636,0.0033201581027667987,0.00150197628458498,7.905138339920949e-05,0.00023715415019762845,20188.0,831,16.9,67.2,42.6,60.1,12.9,32.8,61.3,0.4,61.0,24.5,38.7,28063,8.901911226379612,7.835974581721566,0.010355731225296443,0.020434782608695655,0.026403162055335966,0.013122529644268776,0.3284584980237154
"Greene County, Mississippi",13714,4.7,5.6,5.9,4.7,8.2,7.5,7.7,7.4,7.4,7.7,6.9,7.4,6.0,4.2,3.5,2.0,1.8,1.3,3771.0,0.025059665871121718,1.07,0.0,0.00015910898965791566,0.0,0.0011137629276054097,0.0001856271546009016,4172,2.45,3.15,27.5,40.2,84.8,15.2,28,041,86.8,99.1,87.2,78.8,77.1,8.6,6.3,14.5,6.9,7.4,7.7,13.7,5.1,9.8,0.0016059443911792906,0.0015580057526366252,0.003523489932885906,0.0024928092042186003,0.0029482262703739216,0.0046979865771812086,0.003859060402684564,0.0025407478427612656,0.00019175455417066157,0.0005992329817833174,49447.0,701,13.0,79.3,57.1,70.2,9.0,20.7,68.3,0.4,67.9,32.6,31.7,28041,9.52617248784431,8.336150816120663,0.006591562799616491,0.009635666347075744,0.020325982742090125,0.0036433365292425695,0.1680249280920422
"Marshall County, Mississippi",35787,6.0,6.1,5.9,6.8,6.6,6.7,5.5,6.1,5.7,6.4,7.2,8.3,6.3,5.8,4.9,2.8,1.7,1.2,13883.0,0.006583591442771736,1.03,3.601527047468127e-05,0.00010084275732910754,0.0,7.923359504429879e-05,0.00040337102931643017,13074,2.58,3.14,27.4,42.0,76.0,24.0,28,093,85.0,94.9,85.3,81.1,81.3,13.7,5.0,18.3,3.5,3.3,4.9,9.3,3.6,7.0,0.0007266330120850543,0.00047422364999235125,0.0010249349854673398,0.0009790423741777574,0.0012314517362704606,0.0013155881903013614,0.0008413645403090103,0.0008031206975676916,0.0001529753709652746,0.0001070827596756922,41572.0,1860,15.4,79.8,52.6,68.7,14.1,20.2,57.0,1.4,55.6,19.2,43.0,28093,10.485339977950055,9.478380804172675,0.0020957625822242616,0.0032124827902707664,0.005813064096680434,0.0018357044515832951,0.14226709499770537
"Quitman County, Mississippi",7372,6.9,6.3,6.9,5.6,7.5,6.0,4.8,7.4,5.1,7.7,5.8,6.1,7.8,5.3,4.0,2.7,2.2,1.9,2230.0,0.042197309417040356,1.06,0.0,0.001165919282511211,0.0,0.0003139013452914798,0.0011210762331838565,3055,2.36,3.2,26.9,44.4,58.0,42.0,28,119,82.8,85.2,83.4,79.3,70.6,11.4,12.0,35.5,2.3,3.2,6.7,11.5,4.3,9.7,0.0065139116202945985,0.0036333878887070377,0.005924713584288053,0.0037315875613747954,0.004484451718494271,0.003600654664484452,0.0028805237315875616,0.0018657937806873977,9.819967266775777e-05,0.0,25510.0,1046,18.7,70.0,45.6,57.8,15.3,30.0,53.0,0.3,52.7,26.8,47.0,28119,8.905444318789714,8.024534871605695,0.008805237315875613,0.014533551554828151,0.018985270049099837,0.013747954173486088,0.3423895253682488
