CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor
10100,"Aberdeen, SD Micropolitan Statistical Area",7.07,28.63,15.59,6.46,4.12,16.27,16.05,12.1,3.35,67.25,90.35,11.6,81.47,4.46,,7.74
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",9.89,28.48,15.62,7.09,4.91,15.77,24.01,11.06,6.93,58.6,93.11,7.14,96.63,3.4,3.6,9.37
10740,"Albuquerque, NM Metropolitan Statistical Area",9.99,26.81,14.24,6.18,2.52,16.73,22.02,9.13,8.04,58.85,88.37,6.61,96.54,6.52,2.29,13.24
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",10.62,31.72,16.15,6.48,4.09,18.56,19.19,11.43,6.19,73.03,93.5,8.67,92.97,6.68,3.5,14.32
11260,"Anchorage, AK Metropolitan Statistical Area",9.41,36.27,17.4,5.97,3.06,19.74,19.64,7.43,5.66,53.61,89.55,7.1,95.56,3.71,1.58,12.72
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.74,29.85,13.61,5.15,2.76,14.93,15.49,10.35,5.24,63.28,83.73,5.41,95.99,4.69,3.19,16.2
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",7.52,29.25,22.93,3.09,2.45,12.49,16.69,9.59,5.26,63.42,81.78,5.62,98.29,4.84,2.64,12.83
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71
13740,"Billings, MT Metropolitan Statistical Area",11.38,25.67,19.74,5.93,3.23,17.38,19.87,7.15,7.69,62.54,90.36,8.03,89.03,6.52,3.09,9.48
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27
13900,"Bismarck, ND Metropolitan Statistical Area",10.58,30.72,20.75,4.63,4.16,18.84,17.46,9.2,5.68,60.35,93.7,6.95,91.03,4.72,2.75,7.11
14260,"Boise City, ID Metropolitan Statistical Area",8.03,29.98,15.55,3.82,3.12,12.66,20.71,8.64,4.62,62.97,84.17,6.42,95.36,8.79,2.62,12.41
14454,"Boston, MA Metropolitan Division",12.18,25.55,19.23,4.77,3.03,15.51,15.71,8.7,5.77,51.63,93.29,7.38,88.39,6.6,3.59,10.54
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",10.56,29.68,26.45,7.84,5.32,20.38,17.1,12.16,5.03,57.37,94.28,8.01,94.79,4.02,2.58,10.2
15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",11.38,27.91,18.96,4.46,3.61,13.88,25.28,7.21,5.38,66.94,95.34,6.36,94.47,7.44,1.16,8.27
