FIPS,STATE,AREA_NAME,int_date_public schools,int_date_restaurant dine-in,int_date_federal guidelines,int_date_foreign travel ban
0,US,united states,,,,
1000,AL,alabama,737500.0,737503.0,737500.0,737495.0
1001,AL,autauga county,737500.0,737503.0,737500.0,737495.0
1003,AL,baldwin county,737500.0,737503.0,737500.0,737495.0
1005,AL,barbour county,737500.0,737503.0,737500.0,737495.0
1007,AL,bibb county,737500.0,737503.0,737500.0,737495.0
1009,AL,blount county,737500.0,737503.0,737500.0,737495.0
1011,AL,bullock county,737500.0,737503.0,737500.0,737495.0
1013,AL,butler county,737500.0,737503.0,737500.0,737495.0
1015,AL,calhoun county,737500.0,737503.0,737500.0,737495.0
1017,AL,chambers county,737500.0,737503.0,737500.0,737495.0
1019,AL,cherokee county,737500.0,737503.0,737500.0,737495.0
1021,AL,chilton county,737500.0,737503.0,737500.0,737495.0
1023,AL,choctaw county,737500.0,737503.0,737500.0,737495.0
1025,AL,clarke county,737500.0,737503.0,737500.0,737495.0
1027,AL,clay county,737500.0,737503.0,737500.0,737495.0
1029,AL,cleburne county,737500.0,737503.0,737500.0,737495.0
1031,AL,coffee county,737500.0,737503.0,737500.0,737495.0
1033,AL,colbert county,737500.0,737503.0,737500.0,737495.0
1035,AL,conecuh county,737500.0,737503.0,737500.0,737495.0
1037,AL,coosa county,737500.0,737503.0,737500.0,737495.0
1039,AL,covington county,737500.0,737503.0,737500.0,737495.0
1041,AL,crenshaw county,737500.0,737503.0,737500.0,737495.0
1043,AL,cullman county,737500.0,737503.0,737500.0,737495.0
1045,AL,dale county,737500.0,737503.0,737500.0,737495.0
1047,AL,dallas county,737500.0,737503.0,737500.0,737495.0
1049,AL,dekalb county,737500.0,737503.0,737500.0,737495.0
1051,AL,elmore county,737500.0,737503.0,737500.0,737495.0
1053,AL,escambia county,737500.0,737503.0,737500.0,737495.0
1055,AL,etowah county,737500.0,737503.0,737500.0,737495.0
1057,AL,fayette county,737500.0,737503.0,737500.0,737495.0
1059,AL,franklin county,737500.0,737503.0,737500.0,737495.0
1061,AL,geneva county,737500.0,737503.0,737500.0,737495.0
1063,AL,greene county,737500.0,737503.0,737500.0,737495.0
1065,AL,hale county,737500.0,737503.0,737500.0,737495.0
1067,AL,henry county,737500.0,737503.0,737500.0,737495.0
1069,AL,houston county,737500.0,737503.0,737500.0,737495.0
1071,AL,jackson county,737500.0,737503.0,737500.0,737495.0
1073,AL,jefferson county,737500.0,737503.0,737500.0,737495.0
1075,AL,lamar county,737500.0,737503.0,737500.0,737495.0
1077,AL,lauderdale county,737500.0,737503.0,737500.0,737495.0
1079,AL,lawrence county,737500.0,737503.0,737500.0,737495.0
1081,AL,lee county,737500.0,737503.0,737500.0,737495.0
1083,AL,limestone county,737500.0,737503.0,737500.0,737495.0
1085,AL,lowndes county,737500.0,737503.0,737500.0,737495.0
1087,AL,macon county,737500.0,737503.0,737500.0,737495.0
1089,AL,madison county,737500.0,737503.0,737500.0,737495.0
1091,AL,marengo county,737500.0,737503.0,737500.0,737495.0
1093,AL,marion county,737500.0,737503.0,737500.0,737495.0
1095,AL,marshall county,737500.0,737503.0,737500.0,737495.0
1097,AL,mobile county,737500.0,737503.0,737500.0,737495.0
1099,AL,monroe county,737500.0,737503.0,737500.0,737495.0
1101,AL,montgomery county,737500.0,737503.0,737500.0,737495.0
1103,AL,morgan county,737500.0,737503.0,737500.0,737495.0
1105,AL,perry county,737500.0,737503.0,737500.0,737495.0
1107,AL,pickens county,737500.0,737503.0,737500.0,737495.0
1109,AL,pike county,737500.0,737503.0,737500.0,737495.0
1111,AL,randolph county,737500.0,737503.0,737500.0,737495.0
1113,AL,russell county,737500.0,737503.0,737500.0,737495.0
1115,AL,st. clair county,737500.0,737503.0,737500.0,737495.0
1117,AL,shelby county,737500.0,737503.0,737500.0,737495.0
1119,AL,sumter county,737500.0,737503.0,737500.0,737495.0
1121,AL,talladega county,737500.0,737503.0,737500.0,737495.0
1123,AL,tallapoosa county,737500.0,737503.0,737500.0,737495.0
1125,AL,tuscaloosa county,737500.0,737503.0,737500.0,737495.0
1127,AL,walker county,737500.0,737503.0,737500.0,737495.0
1129,AL,washington county,737500.0,737503.0,737500.0,737495.0
1131,AL,wilcox county,737500.0,737503.0,737500.0,737495.0
1133,AL,winston county,737500.0,737503.0,737500.0,737495.0
2000,AK,alaska,737503.0,737501.0,737500.0,737495.0
2013,AK,aleutians east borough,737503.0,737501.0,737500.0,737495.0
2016,AK,aleutians west census area,737503.0,737501.0,737500.0,737495.0
2020,AK,anchorage municipality,737503.0,737501.0,737500.0,737495.0
2050,AK,bethel census area,737503.0,737501.0,737500.0,737495.0
2060,AK,bristol bay borough,737503.0,737501.0,737500.0,737495.0
2068,AK,denali borough,737503.0,737501.0,737500.0,737495.0
2070,AK,dillingham census area,737503.0,737501.0,737500.0,737495.0
2090,AK,fairbanks north star borough,737503.0,737501.0,737500.0,737495.0
2100,AK,haines borough,737503.0,737501.0,737500.0,737495.0
2105,AK,hoonah-angoon census area,737503.0,737501.0,737500.0,737495.0
2110,AK,juneau city and borough,737503.0,737501.0,737500.0,737495.0
2122,AK,kenai peninsula borough,737503.0,737501.0,737500.0,737495.0
2130,AK,ketchikan gateway borough,737503.0,737501.0,737500.0,737495.0
2150,AK,kodiak island borough,737503.0,737501.0,737500.0,737495.0
2158,AK,kusilvak census area,737503.0,737501.0,737500.0,737495.0
2164,AK,lake and peninsula borough,737503.0,737501.0,737500.0,737495.0
2170,AK,matanuska-susitna borough,737503.0,737501.0,737500.0,737495.0
2180,AK,nome census area,737503.0,737501.0,737500.0,737495.0
2185,AK,north slope borough,737503.0,737501.0,737500.0,737495.0
2188,AK,northwest arctic borough,737503.0,737501.0,737500.0,737495.0
2195,AK,petersburg borough,737503.0,737501.0,737500.0,737495.0
2198,AK,prince of wales-hyder census area,737503.0,737501.0,737500.0,737495.0
2220,AK,sitka city and borough,737503.0,737501.0,737500.0,737495.0
2230,AK,skagway municipality,737503.0,737501.0,737500.0,737495.0
2240,AK,southeast fairbanks census area,737503.0,737501.0,737500.0,737495.0
2261,AK,valdez-cordova census area,737503.0,737501.0,737500.0,737495.0
2275,AK,wrangell city and borough,737503.0,737501.0,737500.0,737495.0
2282,AK,yakutat city and borough,737503.0,737501.0,737500.0,737495.0
